1,19.9375,-42.4916,-1.875,64,15,619.5,1
1,-0.965871,-13.9375,2,25,6,3705,-1
1,-1.22885,-14.125,2,25,18,4105,-1
1,19.9375,-42.0008,-2.0625,64,5,5593.5,1
1,-3.97874,-13.875,2,25,9,6398.5,-1
1,-3.25033,-14.125,2,25,18,7488.5,-1
1,19.875,-42.6025,-2.0625,64,18,7710,1
1,-3.05284,-14.125,2,25,14,8120.5,-1
1,-0.235544,-13.875,2,25,9,8785.5,-1
1,-0.644099,-13.875,2,25,17,8859.5,-1
1,-1.30942,-14.125,2,25,14,9053.5,-1
1,-0.862974,-13.875,2,25,17,9256,-1
1,19.9375,-41.4301,-2.125,64,20,9456,1
1,-2.2463,-14.125,2,25,10,10939.5,-1
1,-3.60744,-13.875,2,25,9,11353,-1
1,20.0625,-42.3441,-1.9375,64,6,11442.5,1
1,-3.40077,-13.9375,2,25,16,12166,-1
1,-1.00176,-14.125,2,25,10,13615.5,-1
1,20,-42.3273,-1.875,64,11,13751.5,1
1,-4.27414,-14.125,2,25,14,14109.5,-1
2,-3.67905,-13.9375,2,25,7,150,-1
2,-4.78352,-14,2,25,12,266,-1
2,-0.872368,-14,2,25,3,1470.5,-1
2,20,-42.8343,-1.9375,64,4,2189,1
2,-3.5319,-14.0625,2,25,1,2267,-1
2,20.0625,-42.2514,-2,64,2,3280,1
2,-3.04649,-14.0625,2,25,1,4206.5,-1
2,-0.946674,-13.875,2,25,13,4974,-1
2,-3.55131,-14,2,25,3,5186.5,-1
2,20.0625,-41.7709,-2.0625,64,7,5236,1
2,-3.39626,-14.0625,2,25,5,6018,-1
2,-2.70294,-14,2,25,11,6350.5,-1
2,-0.984979,-14.0625,2,25,5,7399,-1
2,-3.72131,-13.875,2,25,9,7480,-1
2,20.0625,-42.0147,-2,64,2,7989.5,1
2,-1.43364,-14,2,25,4,8036,-1
2,-2.00509,-14.125,2,25,10,8486.5,-1
2,20.0625,-42.2011,-2.0625,64,7,8793,1
2,20,-41.7895,-2,64,0,9203,1
2,20,-41.9503,-2,64,0,9553,1
2,-1.1921,-14,2,25,0,9598,-1
2,-1.9619,-14,2,25,3,10511.5,-1
2,20.125,-41.4577,-2,64,9,10911,1
2,-4.60533,-13.875,2,25,9,11574,-1
2,-3.13923,-14.125,2,25,14,11886.5,-1
2,-2.29479,-14,2,25,12,12822,-1
2,-4.42031,-13.875,2,25,13,14044.5,-1
3,20.0625,-41.5221,-1.875,64,19,2790.5,1
3,-1.97532,-13.9375,2,25,6,3379,-1
3,-3.868,-13.875,2,25,13,4092,-1
3,-2.44692,-14.0625,2,25,1,4256.5,-1
3,-4.01719,-14,2,25,4,4295.5,-1
