268,40,25
676,40,25
453,40,25
141,40,25
938,40,25
368,42,25
605,42,25
466,42,25
814,42,25
541,42,25
987,42,25
264,42,25
841,42,25
302,42,25
369,42,25
589,42,25
507,42,25
165,42,25
852,44,25
895,48,64
7,50,64
550,50,64
283,50,64
415,50,64
806,50,64
895,50,64
214,52,64
658,52,64
861,52,64
909,52,64
782,52,64
942,52,64
895,52,64
7,52,64
550,52,64
283,52,64
415,52,64
806,52,64
281,54,64
974,54,64
126,54,64
294,54,64
895,54,64
7,54,64
550,54,64
283,54,64
214,54,64
415,54,64
658,54,64
861,54,64
806,54,64
909,54,64
782,54,64
942,54,64
7,56,64
550,56,64
283,56,64
214,56,64
415,56,64
658,56,64
861,56,64
806,56,64
909,56,64
782,56,64
942,56,64
281,56,64
974,56,64
126,56,64
294,56,64
214,58,64
909,58,64
782,58,64
942,58,64
281,58,64
974,58,64
126,58,64
294,58,64
974,60,64
126,60,64
294,60,64
435,72,25
729,74,25
112,78,25
149,78,25
485,78,25
585,78,25
655,80,25
423,80,25
480,80,25
889,80,25
246,80,25
688,80,25
143,82,64
796,84,25
525,84,25
105,84,25
843,84,25
990,84,25
533,84,64
143,84,64
533,86,64
143,86,64
795,88,64
596,88,64
193,88,64
422,88,64
978,88,64
533,88,64
143,88,64
523,90,25
245,90,64
533,90,64
795,90,64
596,90,64
193,90,64
422,90,64
978,90,64
457,92,64
245,92,64
795,92,64
596,92,64
193,92,64
422,92,64
978,92,64
948,94,64
299,94,64
452,94,64
245,94,64
457,94,64
193,94,64
978,94,64
389,96,25
283,96,25
59,96,25
24,96,64
245,96,64
948,96,64
457,96,64
299,96,64
452,96,64
52,98,25
237,98,64
24,98,64
948,98,64
299,98,64
452,98,64
24,100,64
237,100,64
299,100,64
155,102,64
24,102,64
237,102,64
237,104,64
155,104,64
155,106,64
257,110,25
785,110,25
788,112,25
911,112,25
117,112,64
671,114,25
117,114,64
112,116,25
433,116,64
117,116,64
648,118,25
183,118,25
433,118,64
117,118,64
41,120,25
107,120,25
72,120,25
566,120,64
433,120,64
111,122,25
807,122,64
6,122,64
458,122,64
433,122,64
566,122,64
207,124,25
259,124,25
256,124,64
576,124,64
807,124,64
6,124,64
566,124,64
458,124,64
132,126,25
539,126,64
807,126,64
256,126,64
576,126,64
6,126,64
566,126,64
458,126,64
56,128,64
871,128,64
807,128,64
539,128,64
256,128,64
576,128,64
6,128,64
472,130,25
555,130,64
90,130,64
485,130,64
56,130,64
871,130,64
539,130,64
256,130,64
576,130,64
56,132,64
871,132,64
539,132,64
555,132,64
90,132,64
485,132,64
885,134,25
140,134,64
56,134,64
871,134,64
555,134,64
90,134,64
485,134,64
596,136,25
937,136,64
8,136,64
555,136,64
90,136,64
140,136,64
937,138,64
8,138,64
140,138,64
937,140,64
8,140,64
140,140,64
452,142,25
937,142,64
8,142,64
474,146,25
658,146,64
638,148,25
658,148,64
994,150,25
660,150,25
658,150,64
177,152,25
658,152,64
424,154,64
868,156,25
484,156,64
424,156,64
149,158,25
907,158,25
402,158,64
424,158,64
484,158,64
589,160,25
484,160,64
402,160,64
285,162,64
423,162,64
484,162,64
402,162,64
741,164,64
285,164,64
423,164,64
402,164,64
285,166,64
423,166,64
741,166,64
353,168,25
585,168,64
285,168,64
741,168,64
33,170,25
695,170,25
406,170,64
741,170,64
585,170,64
935,172,64
406,172,64
585,172,64
406,174,64
935,174,64
87,176,25
240,176,64
935,176,64
422,178,25
607,178,64
266,178,64
935,178,64
240,178,64
971,180,25
90,180,25
236,180,64
157,180,64
909,180,64
240,180,64
607,180,64
266,180,64
565,182,25
937,182,25
236,182,64
157,182,64
909,182,64
607,182,64
266,182,64
59,184,64
236,184,64
157,184,64
909,184,64
607,184,64
266,184,64
630,186,25
243,186,25
221,186,25
345,186,25
157,186,64
59,186,64
112,188,25
250,188,64
59,188,64
287,190,25
766,190,25
250,190,64
123,192,25
220,192,25
250,192,64
581,194,25
250,194,64
577,196,25
917,196,64
917,198,64
917,200,64
