1239,38,25,
2271,38,25,
4281,38,25,
7138,38,25,
757,38,25,
8639,38,25,
833,38,25,
2908,38,25,
5637,38,25,
8221,38,25,
8591,38,25,
9466,38,25,
9912,38,25,
7232,38,25,
8454,38,25,
4834,38,25,
828,40,25,
9769,40,25,
364,40,25,
543,40,25,
1007,40,25,
6757,40,25,
8647,40,25,
10447,40,25,
10563,40,25,
10907,40,25,
11802,40,25,
1047,40,25,
1459,40,25,
2502,40,25,
3643,40,25,
3690,40,25,
4597,40,25,
4990,40,25,
7295,40,25,
7605,40,25,
9703,40,25,
11393,40,25,
11733,40,25,
809,40,25,
1338,40,25,
1437,40,25,
1763,40,25,
1845,40,25,
2838,40,25,
3072,40,25,
3385,40,25,
4431,40,25,
5071,40,25,
5599,40,25,
6416,40,25,
6870,40,25,
8287,40,25,
8569,40,25,
10368,40,25,
10977,40,25,
2672,40,25,
2763,40,25,
2787,40,25,
3088,40,25,
4928,40,25,
4947,40,25,
7679,40,25,
8293,40,25,
10159,40,25,
10630,40,25,
1217,40,25,
1709,40,25,
2173,40,25,
2669,40,25,
2797,40,25,
3539,40,25,
7588,40,25,
8369,40,25,
11700,40,25,
11788,40,25,
88,40,25,
942,40,25,
2599,40,25,
3508,40,25,
5095,40,25,
5128,40,25,
7791,40,25,
10535,40,25,
10754,40,25,
2885,40,25,
4949,40,25,
6740,40,25,
8126,40,25,
11725,40,25,
6304,40,25,
5336,40,25,
5388,40,25,
6600,40,25,
7746,40,25,
11323,40,25,
3186,40,25,
7420,40,25,
10208,40,25,
5114,40,25,
4149,40,25,
1766,40,25,
8696,40,25,
1008,42,25,
3399,42,25,
4029,42,25,
10222,42,25,
1063,42,25,
1139,42,25,
1783,42,25,
2773,42,25,
2922,42,25,
3297,42,25,
5409,42,25,
8975,42,25,
9479,42,25,
10446,42,25,
4426,42,25,
2623,42,25,
253,42,25,
1309,42,25,
2598,42,25,
4649,42,25,
4853,42,25,
4944,42,25,
5003,42,25,
6833,42,25,
7080,42,25,
7159,42,25,
7576,42,25,
7755,42,25,
7758,42,25,
7891,42,25,
7968,42,25,
8831,42,25,
9906,42,25,
11094,42,25,
260,42,25,
2627,42,25,
5161,42,25,
5597,42,25,
